Index: 1 Polarity: 4	Tweet ID: 1024	Username: kellan3		Text: Kobe is the best in the world not lebron .
Index: 200 Polarity: 4	Tweet ID: 233	Username: jystewar		Text: @psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too
Index: 201 Polarity: 4	Tweet ID: 234	Username: cfblogger		Text: jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631
Index: 202 Polarity: 4	Tweet ID: 235	Username: CaerusM		Text: Very Interesting Ad from Adobe by Goodby; Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT
Index: 203 Polarity: 4	Tweet ID: 236	Username: HallandPartner		Text: Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!
Index: 204 Polarity: 4	Tweet ID: 237	Username: suedecrus		Text: RT @designplay Goodby; Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*
Index: 205 Polarity: 4	Tweet ID: 238	Username: _imagework		Text: The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!
Index: 206 Polarity: 4	Tweet ID: 239	Username: dustinrowle		Text: top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9
Index: 207 Polarity: 4	Tweet ID: 2295	Username: joshgammo		Text: Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/
Index: 208 Polarity: 4	Tweet ID: 2296	Username: KatyWheatley		Text: Watching a programme about the life of Hitler; its only enhancing my geekiness of history.
Index: 209 Polarity: 4	Tweet ID: 251	Username: xzel		Text: zomg!!! I have a G2!!!!!!!
Index: 210 Polarity: 4	Tweet ID: 252	Username: mobiledream		Text: Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl
Index: 211 Polarity: 4	Tweet ID: 253	Username: crashfaste		Text: just got a free G2 android at google i/o!!!
Index: 212 Polarity: 4	Tweet ID: 254	Username: dragona		Text: Guess I'll be retiring my G1 and start using my developer G2 woot #googleio
Index: 213 Polarity: 2	Tweet ID: 255	Username: mastoo		Text: At GWT fireside chat @googleio
Index: 214 Polarity: 4	Tweet ID: 256	Username: maex24		Text: I am happy for Philip being at GoogleIO today
Index: 215 Polarity: 2	Tweet ID: 2355	Username: TiffanyBakke		Text: saw night at the museum out of sheer desperation. who is funding these movies?
Index: 216 Polarity: 4	Tweet ID: 2356	Username: kezzum		Text: Night At The Museum 2? Pretty furkin good.
Index: 217 Polarity: 4	Tweet ID: 2357	Username: bodhibugg		Text: Watching Night at the Museum - giggling.
Index: 218 Polarity: 4	Tweet ID: 2358	Username: HistoryLuV3		Text: @pambeeslyjenna Jenna; I went to see Night At The Museum 2 today and I was so surprised to see three cast members from The Office...
Index: 219 Polarity: 4	Tweet ID: 2359	Username: ErcDrs		Text: About to watch Night at the Museum with Ryan and Stacy
Index: 220 Polarity: 4	Tweet ID: 2360	Username: aykataok		Text: Getting ready to go watch Night at the Museum 2.  Dum dum; you give me gum gum!
Index: 221 Polarity: 0	Tweet ID: 2361	Username: Bcapot		Text: Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing; but 'Night at the Museum' was; eh.
Index: 222 Polarity: 4	Tweet ID: 2362	Username: crikket_churp		Text: just watched night at the museum 2! so stinkin cute!
Index: 223 Polarity: 4	Tweet ID: 2363	Username: tish_tis		Text: So; Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up.
Index: 224 Polarity: 4	Tweet ID: 2364	Username: Lilimic		Text: I think I may have a new favorite restaurant. On our way to see ""Night at the Museum 2"".
Index: 225 Polarity: 4	Tweet ID: 317	Username: specs2		Text: Lakers played great!  Cannot wait for Thursday night Lakers vs. ???
Index: 226 Polarity: 4	Tweet ID: 2365	Username: stealing_secon		Text: UP! was sold out; so i'm seeing Night At The Museum 2. I'm __ years old.
Index: 227 Polarity: 4	Tweet ID: 2366	Username: Pas_de_Cheva		Text: saw the new Night at the Museum and i loved it. Next is to go see UP in 3D
Index: 228 Polarity: 0	Tweet ID: 2367	Username: lloydnelso		Text: It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?
Index: 229 Polarity: 0	Tweet ID: 2368	Username: overthro		Text: As u may have noticed; not too happy about the GM situation; nor AIG; Lehman; et al
Index: 230 Polarity: 4	Tweet ID: 2369	Username: economywir		Text: Obama: Nationalization of GM to be short-term   (AP) http://tinyurl.com/md347r
Index: 231 Polarity: 0	Tweet ID: 2370	Username: tradecru		Text: @Pittstock $GM good riddance.  sad though.
Index: 232 Polarity: 0	Tweet ID: 2371	Username: ZendoDe		Text: I Will NEVER Buy a Government Motors Vehicle: Until just recently; I drove GM cars. Since 1988; when I bought a .. http://tinyurl.com/lulsw8
Index: 233 Polarity: 0	Tweet ID: 2372	Username: rbmsho		Text: Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala
Index: 234 Polarity: 0	Tweet ID: 2373	Username: Ash_Craigslis		Text: #RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the fucking UAW. ..   http://buzzup.com/4ueb
Index: 235 Polarity: 4	Tweet ID: 2374	Username: BarackProblem		Text: Give a man a fish; u feed him for the day. Teach him to fish; u feed him for life. Buy him GM; and u F**K him over for good.
Index: 236 Polarity: 0	Tweet ID: 2375	Username: ericdan		Text: The more I hear about this GM thing the more angry I get. Billions wasted; more bullshit. All for something like 40k employees and all the..
Index: 237 Polarity: 4	Tweet ID: 328	Username: BrandKarm		Text: Hi there; does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8
Index: 238 Polarity: 4	Tweet ID: 2376	Username: tradecru		Text: @QuantTrader i own a GM car and it is junk as far as quality compared to a honda
Index: 239 Polarity: 4	Tweet ID: 329	Username: mattca		Text: Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK
Index: 240 Polarity: 0	Tweet ID: 2377	Username: ktsophi		Text: sad day...bankrupt GM
Index: 241 Polarity: 4	Tweet ID: 330	Username: grahamgrimsha		Text: Here's A case study on how to use viral marketing to add over 10;000 people to your list http://snipr.com/i50oz
Index: 242 Polarity: 4	Tweet ID: 2378	Username: nicolemg41		Text: is upset about the whole GM thing. life as i know it is so screwed up
Index: 243 Polarity: 0	Tweet ID: 331	Username: nicoleism		Text: VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!
Index: 244 Polarity: 0	Tweet ID: 2379	Username: ProofofVeno		Text: whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs
Index: 245 Polarity: 4	Tweet ID: 2380	Username: flywir		Text: Time Warner CEO hints at online fees for magazines      (AP) - Read from Mountain View;United States. Views 16209 http://bit.ly/UdFCH
Index: 246 Polarity: 0	Tweet ID: 2381	Username: batchoutlos		Text: #WFTB Joining a bit late. My connection was down (boo time warner)
Index: 247 Polarity: 0	Tweet ID: 2382	Username: floatingatol		Text: Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.
Index: 248 Polarity: 2	Tweet ID: 2383	Username: kippy		Text: i am furious with time warner and their phone promotions!
Index: 249 Polarity: 0	Tweet ID: 2384	Username: iamton		Text: Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner
Index: 250 Polarity: 0	Tweet ID: 2385	Username: dcwhi		Text: could time-warner cable suck more?  NO.
Index: 251 Polarity: 0	Tweet ID: 2386	Username: JustGL		Text: Pissed at Time Warner for causin me to have slow internet problems
Index: 252 Polarity: 0	Tweet ID: 2387	Username: chaneykyot		Text: @sportsguy33 Ummm; having some Time Warner problems?
Index: 253 Polarity: 0	Tweet ID: 2388	Username: ldmulle		Text: You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j
Index: 254 Polarity: 0	Tweet ID: 2389	Username: JohnTurlingto		Text: RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap; that's not an upside.
Index: 255 Polarity: 0	Tweet ID: 2390	Username: johnsclear		Text: RT @sportsguy33: New Time Warner slogan: ""Time Warner; where we make you long for the days before cable.""
Index: 256 Polarity: 0	Tweet ID: 2391	Username: ecorman		Text: confirmed: it's Time Warner's fault; not Facebook's; that fb is taking about 3 minutes to load. so tempted to switch to verizon =/
Index: 257 Polarity: 0	Tweet ID: 2392	Username: matson		Text: @sportsguy33 Time Warner = epic fail
Index: 258 Polarity: 0	Tweet ID: 2393	Username: YildirimNew		Text: Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china
Index: 259 Polarity: 4	Tweet ID: 2394	Username: zedoma		Text: Weird Piano Guitar House in China! http://u2s.me/72i8
Index: 260 Polarity: 2	Tweet ID: 2395	Username: theprovinc		Text: Send us your GM/Chevy photos http://tinyurl.com/luzkpq
Index: 261 Polarity: 0	Tweet ID: 2396	Username: PeteHal		Text: I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM.
Index: 262 Polarity: 2	Tweet ID: 2397	Username: ram_zon		Text: GM files Bankruptcy; not a good sign...
Index: 263 Polarity: 4	Tweet ID: 2398	Username: irishyank		Text: yankees won mets lost. its a good day.
Index: 264 Polarity: 4	Tweet ID: 2399	Username: Erinthebigsi		Text: My dentist appt today was actually quite enjoyable.
Index: 265 Polarity: 0	Tweet ID: 2400	Username: cassieeeelov		Text: I hate the effing dentist.
Index: 266 Polarity: 4	Tweet ID: 2401	Username: johnnyt18		Text: @stevemoakler i had a dentist appt this morning and had the same conversation!
Index: 267 Polarity: 0	Tweet ID: 2402	Username: b_bass		Text: @kirstiealley I hate going to the dentist.. !!!
Index: 268 Polarity: 0	Tweet ID: 2403	Username: cmg1		Text: i hate the dentist....who invented them anyways?
Index: 269 Polarity: 0	Tweet ID: 2404	Username: arianafly		Text: this dentist's office is cold :/
Index: 270 Polarity: 2	Tweet ID: 2405	Username: jettelli		Text: Check this video out -- David After Dentist http://bit.ly/47aW2
Index: 271 Polarity: 2	Tweet ID: 2406	Username: AdiOpERsOco		Text: First dentist appointment [in years] on Wednesday possibly.
Index: 272 Polarity: 4	Tweet ID: 2407	Username: HallofChampion		Text: Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu
Index: 273 Polarity: 2	Tweet ID: 2408	Username: SimpleManJes		Text: BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ... http://bit.ly/EtT8a
Index: 274 Polarity: 2	Tweet ID: 2409	Username: Oregon_Liv		Text: Portland city politics may undo baseball park http://tinyurl.com/lpjquj
Index: 275 Polarity: 4	Tweet ID: 2410	Username: AirDy		Text: RT @WaterSISWEB: CA Merced's water bottled by Safeway; resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s
Index: 276 Polarity: 0	Tweet ID: 2411	Username: csquared		Text: dropped her broccoli walking home from safeway! ;( so depressed
Index: 277 Polarity: 4	Tweet ID: 2412	Username: XPhile190		Text: @ronjon we don't have Safeway.
Index: 278 Polarity: 4	Tweet ID: 2413	Username: LaurenAmo		Text: Just applied at Safeway!(: Yeeeee!
Index: 279 Polarity: 0	Tweet ID: 2414	Username: TravisJensenS		Text: @ Safeway. Place is a nightmare right now. Bumming.
Index: 280 Polarity: 2	Tweet ID: 2415	Username: Lovely_Laure		Text: at safeway with dad
Index: 281 Polarity: 0	Tweet ID: 2416	Username: fugface8		Text: HATE safeway select green tea icecream! bought two cartons; what a waste of money.  &gt;_&lt;
Index: 282 Polarity: 4	Tweet ID: 2417	Username: _JessicaJO		Text: Safeway with Marvin; Janelle; and Auntie Lhu
Index: 283 Polarity: 4	Tweet ID: 2418	Username: mobileadgir		Text: Safeway offering mobile coupons http://bit.ly/ONH7w
Index: 284 Polarity: 4	Tweet ID: 2419	Username: m_marches		Text: Phillies Driving in the Cadillac with the Top Down in Cali; Win 5-3 - http://tinyurl.com/nzcjqa
Index: 285 Polarity: 4	Tweet ID: 2421	Username: TheDebtres		Text: Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town.
Index: 286 Polarity: 4	Tweet ID: 2422	Username: face_of_bo		Text: Lounging around; eating Taco Bell and watching NCIS before work tonight. Need help staying awake.
Index: 287 Polarity: 4	Tweet ID: 2426	Username: LaraAvn		Text: eating breakfast and then school
Index: 288 Polarity: 0	Tweet ID: 2427	Username: elpasir		Text: still hungry after eating....
Index: 289 Polarity: 4	Tweet ID: 2428	Username: Fitness_10		Text: 10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn
Index: 290 Polarity: 4	Tweet ID: 2429	Username: ohmurde		Text: with the boyfriend; eating a quesadilla
Index: 291 Polarity: 4	Tweet ID: 2430	Username: whoaobliviou		Text: Eating dinner. Meat; chips; and risotto.
Index: 292 Polarity: 4	Tweet ID: 388	Username: Cristinella		Text: watching Night at The Museum . Lmao
Index: 293 Polarity: 4	Tweet ID: 389	Username: MzJil		Text: i loved night at the museum!!!
Index: 294 Polarity: 4	Tweet ID: 390	Username: Lynn_Sk		Text: going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin
Index: 295 Polarity: 4	Tweet ID: 391	Username: bobster5		Text: just got back from the movies.  went to see the new night at the museum with rachel.  it was good
Index: 296 Polarity: 4	Tweet ID: 392	Username: jordanforema		Text: Just saw the new Night at the Museum movie...it was...okay...lol 7\10
Index: 297 Polarity: 4	Tweet ID: 393	Username: britre		Text: Going to see night at the museum 2 with tall boy
Index: 298 Polarity: 4	Tweet ID: 394	Username: jell		Text: @shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good
Index: 299 Polarity: 4	Tweet ID: 395	Username: drohert		Text: no watching The Night At The Museum. Getting Really Good
Index: 300 Polarity: 4	Tweet ID: 396	Username: sarahbrook		Text: Night at the Museum; Wolverine and junk food - perfect monday!
Index: 301 Polarity: 4	Tweet ID: 397	Username: jeremyempir		Text: saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!
Index: 302 Polarity: 4	Tweet ID: 398	Username: MirandaClue		Text: I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.
Index: 303 Polarity: 4	Tweet ID: 399	Username: RGuad0		Text: Taking Katie to see Night at the Museum.  (she picked it)
Index: 304 Polarity: 0	Tweet ID: 400	Username: xshalls		Text: Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL
Index: 305 Polarity: 4	Tweet ID: 401	Username: EconomyUpdate		Text: GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv
Index: 306 Polarity: 0	Tweet ID: 402	Username: mshbrow		Text: It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable
Index: 307 Polarity: 0	Tweet ID: 403	Username: misschris6		Text: Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.
Index: 308 Polarity: 0	Tweet ID: 404	Username: artbynem		Text: @jdreiss oh yes but if GM dies it will only be worth more boo hahaha
Index: 309 Polarity: 0	Tweet ID: 405	Username: windhamgir		Text: Time Warner cable is down again 3rd time since Memorial Day bummer!
Index: 310 Polarity: 0	Tweet ID: 406	Username: mmmP		Text: I would rather pay reasonable yearly taxes for ""free"" fast internet; than get gouged by Time Warner for a slow connection.
Index: 311 Polarity: 0	Tweet ID: 407	Username: NDEddieMa		Text: NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner
Index: 312 Polarity: 0	Tweet ID: 408	Username: yourboysdo		Text: F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!
Index: 313 Polarity: 0	Tweet ID: 409	Username: Shazzainl		Text: time warner has the worse customer service ever. I will never use them again
Index: 314 Polarity: 0	Tweet ID: 410	Username: dstal		Text: Time warner is the devil. Worst possible time for the Internet to go out.
Index: 315 Polarity: 2	Tweet ID: 411	Username: ernestalfons		Text: Fuck no internet damn time warner!
Index: 316 Polarity: 0	Tweet ID: 412	Username: kaaatie		Text: time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.
Index: 317 Polarity: 0	Tweet ID: 413	Username: JasonNegro		Text: I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.
Index: 318 Polarity: 0	Tweet ID: 414	Username: elphabablu		Text: Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)
Index: 319 Polarity: 0	Tweet ID: 415	Username: gabe_r		Text: Time Warner's HD line up is crap.
Index: 320 Polarity: 0	Tweet ID: 416	Username: JoeyCircle		Text: is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!
Index: 321 Polarity: 4	Tweet ID: 417	Username: ScooPos		Text: Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)
Index: 322 Polarity: 0	Tweet ID: 418	Username: adamjleac		Text: Time Warner Cable slogan: Where calling it a day at 2pm Happens.
Index: 323 Polarity: 4	Tweet ID: 419	Username: HYPHYROCKSTA		Text: Rocawear Heads to China; Building 300 Stores  - http://tinyurl.com/nofet3
Index: 324 Polarity: 4	Tweet ID: 420	Username: BreakingBizNew		Text: Climate focus turns to Beijing: The United Nations; the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n
Index: 325 Polarity: 4	Tweet ID: 421	Username: myfoxd		Text: myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba
Index: 326 Polarity: 4	Tweet ID: 422	Username: drlombard		Text: Three China aerospace giants develop Tianjin Binhai  New Area;  22.9 B yuan invested   http://bit.ly/mMiDv
Index: 327 Polarity: 0	Tweet ID: 423	Username: sinostrea		Text: http://xi.gs/04FO GM CEO: China will continue to be key partner
Index: 328 Polarity: 4	Tweet ID: 424	Username: hammeraut		Text: RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu
Index: 329 Polarity: 0	Tweet ID: 425	Username: scorall		Text: Recovering from surgery..wishing @julesrenner was here :(
Index: 330 Polarity: 4	Tweet ID: 426	Username: sardonnic		Text: My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join; txt!
Index: 331 Polarity: 4	Tweet ID: 427	Username: BChasno		Text: Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?
Index: 332 Polarity: 0	Tweet ID: 428	Username: LILJIZZE		Text: THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!
Index: 333 Polarity: 0	Tweet ID: 429	Username: giz200		Text: @kirstiealley my dentist is great but she's expensive...=(
Index: 334 Polarity: 0	Tweet ID: 430	Username: cmonaussiecmo		Text: @kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml
Index: 335 Polarity: 4	Tweet ID: 431	Username: sorayaboub		Text: is studing math ;) tomorrow exam and dentist :)
Index: 336 Polarity: 0	Tweet ID: 432	Username: jeffreymodes		Text: my dentist was wrong... WRONG
Index: 337 Polarity: 0	Tweet ID: 433	Username: yowne		Text: Going to the dentist later.:|
Index: 338 Polarity: 0	Tweet ID: 434	Username: CWilliams_Rlt		Text: Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?
Index: 339 Polarity: 4	Tweet ID: 435	Username: SimpleManJes		Text: NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx
Index: 340 Polarity: 2	Tweet ID: 436	Username: H3LLGWA		Text: just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR
Index: 341 Polarity: 0	Tweet ID: 437	Username: LouisvilleGrad		Text: Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.
Index: 342 Polarity: 2	Tweet ID: 438	Username: SwainFamil		Text: Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796
Index: 343 Polarity: 2	Tweet ID: 439	Username: neeeeli		Text: waiting in line at safeway.
Index: 344 Polarity: 0	Tweet ID: 440	Username: ryanliper		Text: luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?
Index: 345 Polarity: 4	Tweet ID: 441	Username: eva		Text: Did not realize there is a gym above Safeway!
Index: 346 Polarity: 4	Tweet ID: 442	Username: ronjo		Text: @XPhile1908 I have three words for you: ""Safeway dot com""
Index: 347 Polarity: 4	Tweet ID: 443	Username: missleig		Text: Safeway is very rock n roll tonight
Index: 348 Polarity: 0	Tweet ID: 444	Username: SharkKM		Text: Bout to hit safeway I gotta eat
Index: 349 Polarity: 2	Tweet ID: 445	Username: bosZmo		Text: Jake's going to safeway!
Index: 350 Polarity: 4	Tweet ID: 446	Username: penlynwilso		Text: Found a safeway. Picking up a few staples.
Index: 351 Polarity: 4	Tweet ID: 447	Username: mobileadgir		Text: Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w
Index: 352 Polarity: 0	Tweet ID: 448	Username: phantomzange		Text: The safeway bathroom still smells like ass!
Index: 353 Polarity: 0	Tweet ID: 449	Username: Breez		Text: At safeway on elkhorn; they move like they're dead!
Index: 354 Polarity: 0	Tweet ID: 451	Username: nonstopdiet		Text: Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O
Index: 355 Polarity: 4	Tweet ID: 452	Username: janelleshank		Text: Is Eating and Watching Movies....
Index: 356 Polarity: 4	Tweet ID: 2502	Username: stefanjo		Text: got a new pair of nike shoes. pics up later
Index: 357 Polarity: 4	Tweet ID: 2503	Username: nsbor		Text: Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448
Index: 358 Polarity: 2	Tweet ID: 456	Username: hanah		Text: eating sashimi
Index: 359 Polarity: 4	Tweet ID: 2504	Username: marieforle		Text: Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes
Index: 360 Polarity: 4	Tweet ID: 457	Username: Fie		Text: is eating  home made yema
Index: 361 Polarity: 4	Tweet ID: 2505	Username: imflash		Text: Nike Air Yeezy Khaki/Pink Colorway Release - http://shar.es/bjfN
Index: 362 Polarity: 2	Tweet ID: 458	Username: aaindefenz		Text: eating cake
Index: 363 Polarity: 4	Tweet ID: 2506	Username: TheGlossMagazi		Text: @evelynbyrne have you tried Nike  ? V. addictive.
Index: 364 Polarity: 4	Tweet ID: 2507	Username: MiniGree		Text: @erickoston That looks an awful lot like one of Nike's private jets....I'm just sayin....
Index: 365 Polarity: 4	Tweet ID: 2508	Username: TracySute		Text: The Nike Training Club (beta) iPhone app looks very interesting.
Index: 366 Polarity: 0	Tweet ID: 2529	Username: TobyJuanKenob		Text: argghhhh why won't  my jquery appear in safari bad safari !!!
Index: 367 Polarity: 4	Tweet ID: 2530	Username: inBlog		Text: DevSnippets : jQuery Tools - Javascript UI Components for the Web... http://inblogs.org/go/hfuqt
Index: 368 Polarity: 4	Tweet ID: 2531	Username: vmkob		Text: all about Ajax;jquery ;css ;JavaScript and more... (many examples) http://ajaxian.com/
Index: 369 Polarity: 4	Tweet ID: 2532	Username: ghurso		Text: I'm ready to drop the pretenses; I am forever in love with jQuery; and I want to marry it. Sorry ladies; this nerd is jquery.spokenFor.js
Index: 370 Polarity: 4	Tweet ID: 2533	Username: 5x1ll		Text: This is cold.. I was looking at google's chart//visualization API and found this jQuery ""wrapper"" for the API...  http://tinyurl.com/mq52bq
Index: 371 Polarity: 4	Tweet ID: 2534	Username: bryal		Text: I spent most of my day reading a jQuery book. Now to start drinking some delirium tremens.
Index: 372 Polarity: 4	Tweet ID: 2535	Username: vmkob		Text: jquery Selectors http://codylindley.com/jqueryselectors/
Index: 373 Polarity: 4	Tweet ID: 2536	Username: maheshch		Text: How to implement a news ticker with jQuery and ten lines of code http://bit.ly/CZnFJ
Index: 374 Polarity: 4	Tweet ID: 2537	Username: MyBenchmarkMt		Text: What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO
Index: 375 Polarity: 4	Tweet ID: 2538	Username: PragCapitalis		Text: SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie; but a goodie. http://tinyurl.com/oqxgga
Index: 376 Polarity: 4	Tweet ID: 2539	Username: SmartMouthBroa		Text: I'm truly braindead.  I couldn't come up with Warren Buffet's name to save my soul
Index: 377 Polarity: 4	Tweet ID: 2540	Username: goncalo		Text: reading Michael Palin book; The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio
Index: 378 Polarity: 4	Tweet ID: 2541	Username: BobtheRobo		Text: I mean; I'm down with Notre Dame if I have to.  It's a good school; I'd be closer to Dan; I'd enjoy it.
Index: 379 Polarity: 0	Tweet ID: 2543	Username: Hittma		Text: I can't watch TV without a Tivo.  And after all these years; the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html
Index: 380 Polarity: 4	Tweet ID: 2544	Username: aiba		Text: I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis
Index: 381 Polarity: 4	Tweet ID: 2545	Username: nyctime		Text: I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.
Index: 382 Polarity: 4	Tweet ID: 2546	Username: k8tb5		Text: I love my Kindle2. No more stacks of books to trip over on the way to the loo.
Index: 383 Polarity: 0	Tweet ID: 2558	Username: taylorcarriga		Text: Although today's keynote rocked; for every great announcement; AT&amp;T shit on us just a little bit more.
Index: 384 Polarity: 4	Tweet ID: 2559	Username: susanjan		Text: @sheridanmarfil - its not so much my obsession with cell phones; but the iphone!  i'm a slave to at&amp;t forever because of it. :)
Index: 385 Polarity: 4	Tweet ID: 2560	Username: stick0		Text: @freitasm oh I see. I thought AT&amp;T were 900MHz WCDMA?
Index: 386 Polarity: 0	Tweet ID: 2561	Username: CaptainCraigo		Text: @Plip Where did you read about tethering support Phil?  Just AT&amp;T or will O2 be joining in?
Index: 387 Polarity: 0	Tweet ID: 2562	Username: iPhoneFuzzbal		Text: Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter
Index: 388 Polarity: 0	Tweet ID: 2563	Username: itsolivi		Text: Today is a good day to dislike AT&amp;T. Vote out of office indeed; @danielpunkass
Index: 389 Polarity: 4	Tweet ID: 2564	Username: kyrabeck		Text: GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave
Index: 390 Polarity: 0	Tweet ID: 2575	Username: auxesi		Text: looks like summize has gone down. too many tweets from WWDC perhaps?
Index: 391 Polarity: 4	Tweet ID: 2576	Username: deedeewarre		Text: I hope the girl at work  buys my Kindle2
Index: 392 Polarity: 4	Tweet ID: 2577	Username: RogerSPres		Text: Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush
Index: 393 Polarity: 4	Tweet ID: 2578	Username: kmozen		Text: @sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised; fabulous. Thank you! Best; Kathleen
Index: 394 Polarity: 4	Tweet ID: 531	Username: CrownRoyal		Text: i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.
Index: 395 Polarity: 0	Tweet ID: 2579	Username: Jesssssi		Text: Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T
